h_over_R,T_range_low,T_range_high,T_pm_pct,P_range_low,P_range_high,P_pm_pct
0.5,1.08175,1.16829,4.00001,1.05391,1.13821,3.99949
1,1.04947,1.08175,1.49203,1.03286,1.05391,0.998472
