h_over_R,A_T_Tref,B_T_Tref,deltaT_pct,A_P_Pref,B_P_Pref,deltaP_pct
0.5,1.081747,1.168287,8.000,1.053910,1.138212,7.999
1,1.081747,1.049467,-2.984,1.053910,1.032864,-1.997
