case,h_over_R,T_over_rho,Q_over_rho,P_over_rho,T_Tref,P_Pref
hR1,1,7.131402e-01,4.132299e-02,1.5578400217,1.04946744,1.03286405
hR0p5,0.5,7.938810e-01,4.553775e-02,1.71673273033,1.16828677,1.13821155
